,Batch,ID,Time,Embryo,Zona
144,D2018_01_29_S00153_I0831_D_pdb,E5,3101,0.1994,0.3118
145,D2018_01_29_S00153_I0831_D_pdb,E5,7249,0.2184,0.3239
146,D2018_01_29_S00153_I0831_D_pdb,E5,8732,,
147,D2018_01_29_S00153_I0831_D_pdb,E5,1011,0.1941,0.3158
148,D2018_01_29_S00153_I0831_D_pdb,E5,2211,0.1949,0.3117
149,D2018_01_29_S00153_I0831_D_pdb,E5,8407,,
150,D2018_01_29_S00153_I0831_D_pdb,E5,9353,,
151,D2018_01_29_S00153_I0831_D_pdb,E5,7489,0.2177,0.3245
152,D2018_01_29_S00153_I0831_D_pdb,E5,9112,,
153,D2018_01_29_S00153_I0831_D_pdb,E5,7069,0.2011,0.3059
154,D2018_01_29_S00153_I0831_D_pdb,E5,9142,,
155,D2018_01_29_S00153_I0831_D_pdb,E5,4596,0.1914,0.3085
156,D2018_01_29_S00153_I0831_D_pdb,E5,1480,0.1905,0.3029
157,D2018_01_29_S00153_I0831_D_pdb,E5,1290,0.1932,0.3048
158,D2018_01_29_S00153_I0831_D_pdb,E5,2461,0.1920,0.3086
159,D2018_01_29_S00153_I0831_D_pdb,E5,2841,0.1913,0.3066
160,D2018_01_29_S00153_I0831_D_pdb,E5,9272,,
161,D2018_01_29_S00153_I0831_D_pdb,E5,8388,,
162,D2018_01_29_S00153_I0831_D_pdb,E5,3301,0.1960,0.3044
163,D2018_01_29_S00153_I0831_D_pdb,E5,8852,,
164,D2018_01_29_S00153_I0831_D_pdb,E5,2030,0.1963,0.2991
165,D2018_01_29_S00153_I0831_D_pdb,E5,6968,0.1947,0.2984
166,D2018_01_29_S00153_I0831_D_pdb,E5,5546,0.1940,0.3034
167,D2018_01_29_S00153_I0831_D_pdb,E5,2581,0.1948,0.3061
168,D2018_01_29_S00153_I0831_D_pdb,E5,7969,0.2103,0.3111
169,D2018_01_29_S00153_I0831_D_pdb,E5,2070,0.1956,0.3003
170,D2018_01_29_S00153_I0831_D_pdb,E5,8682,,
171,D2018_01_29_S00153_I0831_D_pdb,E5,1840,0.1975,0.3002
172,D2018_01_29_S00153_I0831_D_pdb,E5,8652,,
173,D2018_01_29_S00153_I0831_D_pdb,E5,5296,0.1943,0.3076
174,D2018_01_29_S00153_I0831_D_pdb,E5,7959,0.2115,0.3197
175,D2018_01_29_S00153_I0831_D_pdb,E5,3681,0.1977,0.3055
176,D2018_01_29_S00153_I0831_D_pdb,E5,1670,0.1976,0.3032
177,D2018_01_29_S00153_I0831_D_pdb,E5,6057,0.1933,0.3029
178,D2018_01_29_S00153_I0831_D_pdb,E5,1700,0.1975,0.3064
179,D2018_01_29_S00153_I0831_D_pdb,E5,601,0.1948,0.3131
180,D2018_01_29_S00153_I0831_D_pdb,E5,7709,0.2074,0.3104
181,D2018_01_29_S00153_I0831_D_pdb,E5,4041,0.1974,0.3056
182,D2018_01_29_S00153_I0831_D_pdb,E5,8319,0.1883,0.2842
183,D2018_01_29_S00153_I0831_D_pdb,E5,6548,0.1913,0.3022
184,D2018_01_29_S00153_I0831_D_pdb,E5,7269,0.2176,0.3234
185,D2018_01_29_S00153_I0831_D_pdb,E5,2431,0.1925,0.3094
186,D2018_01_29_S00153_I0831_D_pdb,E5,6748,0.1912,0.3035
187,D2018_01_29_S00153_I0831_D_pdb,E5,5857,0.1969,0.3032
188,D2018_01_29_S00153_I0831_D_pdb,E5,5749,0.1923,0.3065
189,D2018_01_29_S00153_I0831_D_pdb,E5,251,0.1927,0.3147
190,D2018_01_29_S00153_I0831_D_pdb,E5,5286,0.1943,0.3074
191,D2018_01_29_S00153_I0831_D_pdb,E5,6237,0.1947,0.3039
192,D2018_01_29_S00153_I0831_D_pdb,E5,4736,0.1938,0.3044
193,D2018_01_29_S00153_I0831_D_pdb,E5,221,0.1918,0.3147
194,D2018_01_29_S00153_I0831_D_pdb,E5,6518,0.1936,0.3014
195,D2018_01_29_S00153_I0831_D_pdb,E5,110,0.1945,0.3173
196,D2018_01_29_S00153_I0831_D_pdb,E5,441,0.1923,0.3152
197,D2018_01_29_S00153_I0831_D_pdb,E5,6598,0.1922,0.3026
198,D2018_01_29_S00153_I0831_D_pdb,E5,1135,0.1953,0.3048
199,D2018_01_29_S00153_I0831_D_pdb,E5,8972,,
200,D2018_01_29_S00153_I0831_D_pdb,E5,6417,0.1901,0.3020
201,D2018_01_29_S00153_I0831_D_pdb,E5,3871,0.1986,0.3073
202,D2018_01_29_S00153_I0831_D_pdb,E5,1370,0.1900,0.3055
203,D2018_01_29_S00153_I0831_D_pdb,E5,7169,0.2070,0.3111
204,D2018_01_29_S00153_I0831_D_pdb,E5,4516,0.1944,0.3056
205,D2018_01_29_S00153_I0831_D_pdb,E5,2721,0.1941,0.3093
206,D2018_01_29_S00153_I0831_D_pdb,E5,8842,,
207,D2018_01_29_S00153_I0831_D_pdb,E5,3982,0.1995,0.3055
208,D2018_01_29_S00153_I0831_D_pdb,E5,2881,0.1945,0.3085
209,D2018_01_29_S00153_I0831_D_pdb,E5,4546,0.1940,0.3083
210,D2018_01_29_S00153_I0831_D_pdb,E5,2050,0.1942,0.3006
211,D2018_01_29_S00153_I0831_D_pdb,E5,5486,0.1917,0.3027
212,D2018_01_29_S00153_I0831_D_pdb,E5,9383,,
213,D2018_01_29_S00153_I0831_D_pdb,E5,2251,0.1938,0.3084
214,D2018_01_29_S00153_I0831_D_pdb,E5,3171,0.1981,0.3074
215,D2018_01_29_S00153_I0831_D_pdb,E5,3961,0.1996,0.3041
216,D2018_01_29_S00153_I0831_D_pdb,E5,6407,0.1905,0.3017
217,D2018_01_29_S00153_I0831_D_pdb,E5,3701,0.1981,0.3079
218,D2018_01_29_S00153_I0831_D_pdb,E5,1750,0.1972,0.3018
219,D2018_01_29_S00153_I0831_D_pdb,E5,7619,0.2140,0.3204
220,D2018_01_29_S00153_I0831_D_pdb,E5,9122,,
221,D2018_01_29_S00153_I0831_D_pdb,E5,80,0.1941,0.3141
222,D2018_01_29_S00153_I0831_D_pdb,E5,2381,0.1926,0.3092
223,D2018_01_29_S00153_I0831_D_pdb,E5,2671,0.1938,0.3064
224,D2018_01_29_S00153_I0831_D_pdb,E5,1470,0.1901,0.3022
225,D2018_01_29_S00153_I0831_D_pdb,E5,1270,0.1930,0.3094
226,D2018_01_29_S00153_I0831_D_pdb,E5,8437,,
227,D2018_01_29_S00153_I0831_D_pdb,E5,4496,0.1947,0.3057
228,D2018_01_29_S00153_I0831_D_pdb,E5,7719,0.2085,0.3099
229,D2018_01_29_S00153_I0831_D_pdb,E5,381,0.1937,0.3171
230,D2018_01_29_S00153_I0831_D_pdb,E5,4266,0.1973,0.3122
231,D2018_01_29_S00153_I0831_D_pdb,E5,3231,0.1978,0.3048
232,D2018_01_29_S00153_I0831_D_pdb,E5,3761,0.1973,0.3069
233,D2018_01_29_S00153_I0831_D_pdb,E5,1115,0.1968,0.3068
234,D2018_01_29_S00153_I0831_D_pdb,E5,9563,,
235,D2018_01_29_S00153_I0831_D_pdb,E5,90,0.1957,0.3177
236,D2018_01_29_S00153_I0831_D_pdb,E5,9830,,
237,D2018_01_29_S00153_I0831_D_pdb,E5,3691,0.1987,0.3069
238,D2018_01_29_S00153_I0831_D_pdb,E5,4206,0.1981,0.3087
239,D2018_01_29_S00153_I0831_D_pdb,E5,1220,0.1926,0.3115
240,D2018_01_29_S00153_I0831_D_pdb,E5,6638,0.1920,0.3034
241,D2018_01_29_S00153_I0831_D_pdb,E5,2852,0.1938,0.3088
242,D2018_01_29_S00153_I0831_D_pdb,E5,9413,,
243,D2018_01_29_S00153_I0831_D_pdb,E5,6938,0.1901,0.3022
