,Embryo,Static time,Last time,Max time,Method 1,Method 3
283,D2019_07_26_S00507_I0831_D_pdb_E5,6797,6797,6937,0,140
284,D2019_04_12_S00178_I3171_E2,6797,6797,6928,0,131
285,D2017_07_09_S0284_I776_pdb_E12,6801,6801,6831,0,30
286,D2019_06_13_S00610_I0776_D_pdb_E8,6799,6799,6819,0,20
287,D2017_11_18_S00383_I0776_D_pdb_E2,6800,6800,6850,0,50
288,D2018_11_01_S00010_I3171_E1,6802,6802,6992,0,190
289,D2018_04_20_S00204_I0831_D_pdb_E2,6796,7006,6996,210,200
290,D2018_12_11_S00054_I3169_E13,6802,6802,6802,0,0
291,D2017_11_26_S00392_I0776_E4,6797,6797,6858,0,61
292,D2019_03_19_S00417_I0831_D_pdb_E7,6796,7026,7026,230,230
293,D2019_07_10_S00332_I0800_D_pdb_E1,6802,6802,7112,0,310
294,D2017_10_06_S0086_I831_pdb_E8,6803,6803,6903,0,100
295,D2017_07_10_S0285_I776_pdb_E6,6805,6805,6805,0,0
296,D2018_12_12_S00057_I3169_E6,6805,6805,7211,0,406
297,D2019_02_02_S00583_I0776_D_pdb_E5,6795,6935,6905,140,110
298,D2019_03_29_S00424_I0831_D_pdb_E5,6797,6933,6925,136,128
299,D2019_11_04_S00474_I3171_E1,6800,6800,6824,0,24
300,D2017_09_23_S0075_I831_pdb_E6,5730,5730,5730,0,0
301,D2019_07_09_S00296_I3171_E8,6805,6883,6883,78,78
302,D2019_04_19_S00187_I3171_E11,6800,6998,6965,198,165
303,D2017_12_03_S00397_I0776_D_pdb_E6,6805,6869,6869,64,64
304,D2018_06_08_S00233_I0831_D_pdb_E1,6798,6798,7087,0,289
305,D2020_03_03_S00642_I3171_E5,6800,7068,7068,268,268
306,D2018_11_06_S00013_I3169_E1,6800,6933,6913,133,113
307,D2019_03_06_S00134_I3171_E1,6798,6936,6936,138,138
308,D2018_04_11_S00195_I0831_D_pdb_E5,5254,5254,5254,0,0
309,D2017_05_02_S0235_I776_pdb_E3,6803,7046,7036,243,233
310,D2016_07_12_S0061_I776_pdb_E5,6797,6797,6927,0,130
311,D2019_02_28_S00126_I3171_E1,6799,6799,6897,0,98
312,D2019_06_26_S00484_I0831_D_pdb_E7,6802,6943,6885,141,83
313,D2019_09_06_S00532_I0831_D_pdb_E12,1216,1216,1216,0,0
314,D2017_11_22_S0121_I831_pdb_E8,6805,7341,7006,536,201
315,D2016_07_17_S0065_I776_pdb_E2,6803,6928,6813,125,10
316,D2020_02_07_S00638_I0831_D_pdb_E10,6805,7035,7035,230,230
317,D2018_03_08_S00124_I0800_D_pdb_E1,6801,7103,6993,302,192
318,D2016_10_15_S0125_I776_pdb_E2,6798,6798,6838,0,40
319,D2020_02_25_S00667_I3169_E4,6796,6843,6843,47,47
320,D2017_07_10_S0285_I776_pdb_E5,6805,6805,6864,0,59
321,D2018_05_07_S00216_I0831_D_pdb_E1,6802,6802,6893,0,91
322,D2017_08_25_S0040_I800_pdb_E1,6801,6801,6961,0,160
323,D2018_08_27_S00290_I0831_D_pdb_E1,6800,7157,7117,357,317
324,D2018_02_21_S00168_I0831_D_pdb_E5,6805,6805,6805,0,0
325,D2018_08_10_S00276_I0831_D_pdb_E2,6801,6801,6831,0,30
326,D2020_01_26_S00689_I0776_D_pdb_E7,6801,6801,6821,0,20
327,D2019_05_11_S00215_I3171_E3,6802,6979,6979,177,177
328,D2018_05_29_S00485_I0776_E4,6798,6798,6888,0,90
329,D2018_11_28_S00044_I3171_E5,6796,10118,8970,3322,2174
330,D2019_01_23_S00074_I3171_E1,6805,7169,7062,364,257
331,D2018_03_21_S00182_I0831_D_pdb_E11,6804,6804,7003,0,199
332,D2020_02_23_S00702_I0776_D_pdb_E6,6797,6797,6827,0,30
333,D2020_02_07_S00638_I0831_D_pdb_E5,6804,7035,6945,231,141
334,D2018_06_08_S00233_I0831_D_pdb_E9,6800,7119,7089,319,289
335,D2018_12_10_S00051_I3169_E5,6805,6805,6853,0,48
336,D2019_02_01_S00276_I0800_D_pdb_E7,6801,6801,6801,0,0
337,D2016_12_15_S0169_I776_pdb_E1,6799,6799,6859,0,60
338,D2018_11_21_S00572_I0776_D_pdb_E2,6803,6913,6883,110,80
339,D2019_06_26_S00302_I3169_E2,6799,7153,7110,354,311
340,D2019_09_24_S00404_I3171_E8,6803,6803,6865,0,62
341,D2019_07_28_S00336_I0800_D_pdb_E4,6795,7171,6915,376,120
342,D2017_10_06_S0087_I831_pdb_E4,6798,6798,6994,0,196
343,D2019_02_11_S00100_I3169_E1,6804,6804,6814,0,10
344,D2019_08_13_S00345_I3171_E6,6796,6796,6934,0,138
345,D2019_11_23_S00678_I0776_D_pdb_E1,6797,6899,6879,102,82
346,D2018_08_01_S00271_I0831_D_pdb_E6,6805,6965,6955,160,150
347,D2017_06_05_S0259_I776_pdb_E3,6798,6948,6948,150,150
348,D2017_11_22_S0122_I831_pdb_E5,6802,7208,7071,406,269
349,D2019_09_24_S00404_I3171_E2,6803,6803,6885,0,82
350,D2019_05_11_S00603_I0776_D_pdb_E11,6801,7102,6941,301,140
351,D2018_12_06_S00575_I0776_D_pdb_E10,6798,7159,7109,361,311
352,D2016_07_01_S0053_I776_pdb_E1,6795,6795,6917,0,122
353,D2020_01_25_S00687_I0776_D_pdb_E1,6797,7057,7017,260,220
