,Batch,ID,Time,Class,Confidence,Size
7748,D2018_02_25_S00434_I0776,E2,3606,zona,0.9996,0.3297
7749,D2018_02_25_S00434_I0776,E2,3606,embryo,0.9991,0.2032
7750,D2018_02_25_S00434_I0776,E2,4505,zona,0.9903,0.3570
7751,D2018_02_25_S00434_I0776,E2,4505,embryo,0.9835,0.2057
7752,D2018_02_25_S00434_I0776,E2,9576,zona,0.8604,0.4369
7753,D2018_02_25_S00434_I0776,E2,3056,embryo,1.0000,0.1802
7754,D2018_02_25_S00434_I0776,E2,3056,zona,0.9999,0.3144
7755,D2018_02_25_S00434_I0776,E2,5365,embryo,0.9999,0.1683
7756,D2018_02_25_S00434_I0776,E2,5365,zona,0.9992,0.3394
7757,D2018_02_25_S00434_I0776,E2,6260,zona,0.9993,0.3347
7758,D2018_02_25_S00434_I0776,E2,6260,embryo,0.9967,0.2071
7759,D2018_02_25_S00434_I0776,E2,7020,zona,0.9998,0.3427
7760,D2018_02_25_S00434_I0776,E2,7020,embryo,0.9753,0.2157
7761,D2018_02_25_S00434_I0776,E2,6710,embryo,1.0000,0.2073
7762,D2018_02_25_S00434_I0776,E2,6710,zona,0.9997,0.4002
7763,D2018_02_25_S00434_I0776,E2,5155,zona,0.9997,0.3491
7764,D2018_02_25_S00434_I0776,E2,5155,embryo,0.9996,0.1899
7765,D2018_02_25_S00434_I0776,E2,1898,embryo,0.9998,0.1667
7766,D2018_02_25_S00434_I0776,E2,1898,zona,0.9975,0.3413
7767,D2018_02_25_S00434_I0776,E2,6090,embryo,0.9985,0.2032
7768,D2018_02_25_S00434_I0776,E2,6090,zona,0.9966,0.3657
7769,D2018_02_25_S00434_I0776,E2,6680,embryo,0.9998,0.2108
7770,D2018_02_25_S00434_I0776,E2,6680,zona,0.9997,0.3420
7771,D2018_02_25_S00434_I0776,E2,9306,zona,0.9990,0.4034
7772,D2018_02_25_S00434_I0776,E2,9306,embryo,0.9931,0.2462
7773,D2018_02_25_S00434_I0776,E2,1118,embryo,0.9998,0.2047
7774,D2018_02_25_S00434_I0776,E2,1118,zona,0.9996,0.3666
7775,D2018_02_25_S00434_I0776,E2,8766,zona,0.9998,0.4294
7776,D2018_02_25_S00434_I0776,E2,8766,embryo,0.9984,0.2585
7777,D2018_02_25_S00434_I0776,E2,5225,embryo,0.9995,0.1717
7778,D2018_02_25_S00434_I0776,E2,5225,zona,0.9993,0.3113
7779,D2018_02_25_S00434_I0776,E2,1588,embryo,0.9999,0.1898
7780,D2018_02_25_S00434_I0776,E2,1588,zona,0.9991,0.3504
7781,D2018_02_25_S00434_I0776,E2,6540,embryo,0.9999,0.2049
7782,D2018_02_25_S00434_I0776,E2,6540,zona,0.9953,0.3392
7783,D2018_02_25_S00434_I0776,E2,7976,zona,0.8753,0.3958
7784,D2018_02_25_S00434_I0776,E2,9705,zona,0.9853,0.3535
7785,D2018_02_25_S00434_I0776,E2,9705,embryo,0.9512,0.3123
7786,D2018_02_25_S00434_I0776,E2,7110,zona,0.9997,0.3677
7787,D2018_02_25_S00434_I0776,E2,7110,embryo,0.9996,0.2058
7788,D2018_02_25_S00434_I0776,E2,8906,zona,0.9994,0.4286
7789,D2018_02_25_S00434_I0776,E2,8906,embryo,0.9829,0.2312
7790,D2018_02_25_S00434_I0776,E2,9416,zona,0.9993,0.3688
7791,D2018_02_25_S00434_I0776,E2,9416,embryo,0.9942,0.2737
7792,D2018_02_25_S00434_I0776,E2,7716,zona,0.9995,0.4399
7793,D2018_02_25_S00434_I0776,E2,5801,zona,0.9956,0.3219
7794,D2018_02_25_S00434_I0776,E2,5801,embryo,0.9888,0.1975
7795,D2018_02_25_S00434_I0776,E2,8806,zona,0.9990,0.4647
7796,D2018_02_25_S00434_I0776,E2,8806,embryo,0.9811,0.2860
7797,D2018_02_25_S00434_I0776,E2,4314,embryo,0.9964,0.2024
7798,D2018_02_25_S00434_I0776,E2,4314,zona,0.9959,0.2480
7799,D2018_02_25_S00434_I0776,E2,3666,embryo,0.9999,0.2017
7800,D2018_02_25_S00434_I0776,E2,3666,zona,0.9998,0.3552
7801,D2018_02_25_S00434_I0776,E2,6927,zona,0.9993,0.3248
7802,D2018_02_25_S00434_I0776,E2,6927,embryo,0.9988,0.2182
7803,D2018_02_25_S00434_I0776,E2,6846,embryo,1.0000,0.1885
7804,D2018_02_25_S00434_I0776,E2,6846,zona,0.9999,0.3467
7805,D2018_02_25_S00434_I0776,E2,8167,zona,0.9772,0.6161
7806,D2018_02_25_S00434_I0776,E2,5295,embryo,0.9996,0.1945
7807,D2018_02_25_S00434_I0776,E2,5295,zona,0.9990,0.3452
7808,D2018_02_25_S00434_I0776,E2,5005,zona,0.9990,0.3287
7809,D2018_02_25_S00434_I0776,E2,5005,embryo,0.9986,0.2297
7810,D2018_02_25_S00434_I0776,E2,6856,embryo,0.9999,0.2105
7811,D2018_02_25_S00434_I0776,E2,6856,zona,0.9999,0.3254
7812,D2018_02_25_S00434_I0776,E2,5685,embryo,0.9994,0.1828
7813,D2018_02_25_S00434_I0776,E2,5685,zona,0.9973,0.3323
7814,D2018_02_25_S00434_I0776,E2,6000,embryo,1.0000,0.1961
7815,D2018_02_25_S00434_I0776,E2,6000,zona,0.9995,0.3564
7816,D2018_02_25_S00434_I0776,E2,4915,embryo,0.9999,0.1985
7817,D2018_02_25_S00434_I0776,E2,4915,zona,0.9998,0.3442
7818,D2018_02_25_S00434_I0776,E2,9106,zona,0.9998,0.4059
7819,D2018_02_25_S00434_I0776,E2,9106,embryo,0.9036,0.2612
7820,D2018_02_25_S00434_I0776,E2,8665,zona,0.9909,0.4806
7821,D2018_02_25_S00434_I0776,E2,8665,embryo,0.9746,0.2557
7822,D2018_02_25_S00434_I0776,E2,9276,zona,0.9843,0.4612
7823,D2018_02_25_S00434_I0776,E2,9276,embryo,0.8076,0.2338
7824,D2018_02_25_S00434_I0776,E2,8756,zona,0.9996,0.4649
7825,D2018_02_25_S00434_I0776,E2,8756,embryo,0.9901,0.2426
7826,D2018_02_25_S00434_I0776,E2,9256,zona,0.9747,0.4386
7827,D2018_02_25_S00434_I0776,E2,7416,zona,0.9986,0.3710
7828,D2018_02_25_S00434_I0776,E2,7416,embryo,0.9956,0.2591
7829,D2018_02_25_S00434_I0776,E2,5195,zona,0.9888,0.3599
7830,D2018_02_25_S00434_I0776,E2,5195,embryo,0.8916,0.2319
7831,D2018_02_25_S00434_I0776,E2,8675,zona,0.9631,0.4441
7832,D2018_02_25_S00434_I0776,E2,8675,embryo,0.7094,0.2311
7833,D2018_02_25_S00434_I0776,E2,6786,embryo,0.9999,0.2038
7834,D2018_02_25_S00434_I0776,E2,6786,zona,0.9999,0.3680
7835,D2018_02_25_S00434_I0776,E2,9376,zona,0.9247,0.3802
7836,D2018_02_25_S00434_I0776,E2,9376,embryo,0.8689,0.2649
7837,D2018_02_25_S00434_I0776,E2,3236,embryo,0.9999,0.1752
7838,D2018_02_25_S00434_I0776,E2,3236,zona,0.9998,0.3156
7839,D2018_02_25_S00434_I0776,E2,5345,zona,0.9998,0.3516
7840,D2018_02_25_S00434_I0776,E2,5345,embryo,0.9997,0.1790
7841,D2018_02_25_S00434_I0776,E2,3326,embryo,0.9999,0.1865
7842,D2018_02_25_S00434_I0776,E2,3326,zona,0.9998,0.3293
7843,D2018_02_25_S00434_I0776,E2,2088,zona,0.9995,0.3247
7844,D2018_02_25_S00434_I0776,E2,2088,embryo,0.9980,0.2007
7845,D2018_02_25_S00434_I0776,E2,4414,embryo,0.9996,0.1972
7846,D2018_02_25_S00434_I0776,E2,4414,zona,0.9986,0.3193
7847,D2018_02_25_S00434_I0776,E2,5405,embryo,0.9996,0.1828
7848,D2018_02_25_S00434_I0776,E2,5405,zona,0.9990,0.3338
7849,D2018_02_25_S00434_I0776,E2,8575,zona,0.9983,0.4306
7850,D2018_02_25_S00434_I0776,E2,8575,embryo,0.9493,0.2759
7851,D2018_02_25_S00434_I0776,E2,2018,zona,0.9998,0.3160
7852,D2018_02_25_S00434_I0776,E2,2018,embryo,0.9942,0.2236
7853,D2018_02_25_S00434_I0776,E2,8066,zona,0.9956,0.4951
7854,D2018_02_25_S00434_I0776,E2,8066,embryo,0.5904,0.2148
7855,D2018_02_25_S00434_I0776,E2,5555,embryo,1.0000,0.1490
7856,D2018_02_25_S00434_I0776,E2,5555,zona,0.9996,0.3243
7857,D2018_02_25_S00434_I0776,E2,2716,embryo,0.9992,0.1803
7858,D2018_02_25_S00434_I0776,E2,2716,zona,0.9970,0.3265
7859,D2018_02_25_S00434_I0776,E2,2836,embryo,0.9999,0.1940
7860,D2018_02_25_S00434_I0776,E2,2836,zona,0.9989,0.3795
7861,D2018_02_25_S00434_I0776,E2,4705,embryo,0.9988,0.2130
7862,D2018_02_25_S00434_I0776,E2,4705,zona,0.9897,0.3759
7863,D2018_02_25_S00434_I0776,E2,6370,embryo,0.9993,0.2124
7864,D2018_02_25_S00434_I0776,E2,6370,zona,0.9880,0.3554
7865,D2018_02_25_S00434_I0776,E2,5920,embryo,0.9997,0.1764
7866,D2018_02_25_S00434_I0776,E2,5920,zona,0.9991,0.3452
7867,D2018_02_25_S00434_I0776,E2,7466,zona,0.9992,0.3436
7868,D2018_02_25_S00434_I0776,E2,7466,embryo,0.9462,0.2333
7869,D2018_02_25_S00434_I0776,E2,1698,embryo,0.9999,0.1745
7870,D2018_02_25_S00434_I0776,E2,1698,zona,0.9995,0.3508
7871,D2018_02_25_S00434_I0776,E2,6390,embryo,0.9769,0.2063
7872,D2018_02_25_S00434_I0776,E2,6390,zona,0.9239,0.3513
7873,D2018_02_25_S00434_I0776,E2,7926,embryo,0.9996,0.2686
7874,D2018_02_25_S00434_I0776,E2,7926,zona,0.9996,0.4042
7875,D2018_02_25_S00434_I0776,E2,5125,zona,0.9992,0.3147
7876,D2018_02_25_S00434_I0776,E2,5125,embryo,0.9987,0.1686
7877,D2018_02_25_S00434_I0776,E2,9496,zona,0.9983,0.3484
7878,D2018_02_25_S00434_I0776,E2,9496,embryo,0.9943,0.2464
7879,D2018_02_25_S00434_I0776,E2,6806,zona,0.9999,0.3292
7880,D2018_02_25_S00434_I0776,E2,6806,embryo,0.9990,0.2000
7881,D2018_02_25_S00434_I0776,E2,1608,embryo,0.9999,0.1774
7882,D2018_02_25_S00434_I0776,E2,1608,zona,0.9965,0.3272
7883,D2018_02_25_S00434_I0776,E2,2796,embryo,0.9999,0.1897
7884,D2018_02_25_S00434_I0776,E2,2796,zona,0.9999,0.3244
7885,D2018_02_25_S00434_I0776,E2,6020,embryo,0.9999,0.2075
7886,D2018_02_25_S00434_I0776,E2,6020,zona,0.9990,0.3720
7887,D2018_02_25_S00434_I0776,E2,2886,embryo,1.0000,0.1619
7888,D2018_02_25_S00434_I0776,E2,2886,zona,0.9999,0.3428
7889,D2018_02_25_S00434_I0776,E2,4555,embryo,0.9994,0.2051
7890,D2018_02_25_S00434_I0776,E2,4555,zona,0.9977,0.3409
7891,D2018_02_25_S00434_I0776,E2,7436,zona,0.9995,0.3707
7892,D2018_02_25_S00434_I0776,E2,7436,embryo,0.9954,0.2858
7893,D2018_02_25_S00434_I0776,E2,4207,embryo,0.9986,0.1704
7894,D2018_02_25_S00434_I0776,E2,4207,zona,0.9985,0.3556
7895,D2018_02_25_S00434_I0776,E2,9526,zona,0.9978,0.4039
7896,D2018_02_25_S00434_I0776,E2,9526,embryo,0.9932,0.2286
7897,D2018_02_25_S00434_I0776,E2,1818,embryo,1.0000,0.1694
7898,D2018_02_25_S00434_I0776,E2,1818,zona,0.9914,0.3219
7899,D2018_02_25_S00434_I0776,E2,1548,embryo,0.9997,0.1866
7900,D2018_02_25_S00434_I0776,E2,1548,zona,0.9988,0.3517
7901,D2018_02_25_S00434_I0776,E2,3636,embryo,0.9999,0.1978
7902,D2018_02_25_S00434_I0776,E2,3636,zona,0.9998,0.3488
7903,D2018_02_25_S00434_I0776,E2,5705,embryo,0.9996,0.2038
7904,D2018_02_25_S00434_I0776,E2,5705,zona,0.9939,0.3283
7905,D2018_02_25_S00434_I0776,E2,6740,embryo,1.0000,0.2113
7906,D2018_02_25_S00434_I0776,E2,6740,zona,0.9999,0.3449
7907,D2018_02_25_S00434_I0776,E2,3926,embryo,0.9998,0.1907
7908,D2018_02_25_S00434_I0776,E2,3926,zona,0.9989,0.3231
7909,D2018_02_25_S00434_I0776,E2,9426,zona,0.9963,0.3732
7910,D2018_02_25_S00434_I0776,E2,9426,embryo,0.9853,0.2619
7911,D2018_02_25_S00434_I0776,E2,9665,embryo,0.9874,0.2776
7912,D2018_02_25_S00434_I0776,E2,9665,zona,0.9870,0.4033
7913,D2018_02_25_S00434_I0776,E2,6550,zona,0.9947,0.3208
7914,D2018_02_25_S00434_I0776,E2,6550,embryo,0.9910,0.2135
7915,D2018_02_25_S00434_I0776,E2,8211,zona,0.5382,0.6101
7916,D2018_02_25_S00434_I0776,E2,9386,embryo,0.9932,0.2678
7917,D2018_02_25_S00434_I0776,E2,9386,zona,0.9857,0.4050
7918,D2018_02_25_S00434_I0776,E2,5455,embryo,0.9998,0.2107
7919,D2018_02_25_S00434_I0776,E2,5455,zona,0.9984,0.3278
7920,D2018_02_25_S00434_I0776,E2,4575,zona,0.9962,0.3332
7921,D2018_02_25_S00434_I0776,E2,4575,embryo,0.9815,0.2144
7922,D2018_02_25_S00434_I0776,E2,6660,embryo,1.0000,0.2076
7923,D2018_02_25_S00434_I0776,E2,6660,zona,0.9988,0.3440
7924,D2018_02_25_S00434_I0776,E2,8261,zona,0.8699,0.5133
7925,D2018_02_25_S00434_I0776,E2,1918,embryo,0.9998,0.1795
7926,D2018_02_25_S00434_I0776,E2,1918,zona,0.9936,0.3346
