,Batch,ID,Time,Embryo,Zona,Ratio
805,D2018_02_25_S00434_I0776,E4,1168,0.1806,0.3261,0.5538
806,D2018_02_25_S00434_I0776,E4,7706,,,
807,D2018_02_25_S00434_I0776,E4,4087,0.1865,0.3276,0.5693
808,D2018_02_25_S00434_I0776,E4,8087,,,
809,D2018_02_25_S00434_I0776,E4,6786,,0.3586,
810,D2018_02_25_S00434_I0776,E4,6271,0.2139,0.3307,0.6468
811,D2018_02_25_S00434_I0776,E4,8127,,,
812,D2018_02_25_S00434_I0776,E4,8746,,,
813,D2018_02_25_S00434_I0776,E4,2856,0.2194,0.3640,0.6027
814,D2018_02_25_S00434_I0776,E4,5385,0.2139,0.3221,0.6641
815,D2018_02_25_S00434_I0776,E4,2836,0.2243,0.3493,0.6421
816,D2018_02_25_S00434_I0776,E4,5505,0.1997,0.3308,0.6037
817,D2018_02_25_S00434_I0776,E4,1348,0.1742,0.3315,0.5255
818,D2018_02_25_S00434_I0776,E4,6140,0.2064,0.3331,0.6196
819,D2018_02_25_S00434_I0776,E4,2238,0.1937,0.3341,0.5798
820,D2018_02_25_S00434_I0776,E4,5165,0.2075,0.3225,0.6434
821,D2018_02_25_S00434_I0776,E4,9557,,,
822,D2018_02_25_S00434_I0776,E4,3737,0.1929,0.3317,0.5815
823,D2018_02_25_S00434_I0776,E4,3957,0.1947,0.3315,0.5873
824,D2018_02_25_S00434_I0776,E4,3356,0.1867,0.3441,0.5426
825,D2018_02_25_S00434_I0776,E4,7426,,,
826,D2018_02_25_S00434_I0776,E4,3537,0.1851,0.3496,0.5295
827,D2018_02_25_S00434_I0776,E4,8676,,,
828,D2018_02_25_S00434_I0776,E4,8465,,,
829,D2018_02_25_S00434_I0776,E4,4655,0.1872,0.3670,0.5101
830,D2018_02_25_S00434_I0776,E4,7100,,,
831,D2018_02_25_S00434_I0776,E4,5475,0.1995,0.3293,0.6058
832,D2018_02_25_S00434_I0776,E4,3216,0.2141,0.3483,0.6147
833,D2018_02_25_S00434_I0776,E4,8341,,,
834,D2018_02_25_S00434_I0776,E4,2946,0.2149,0.3528,0.6091
835,D2018_02_25_S00434_I0776,E4,2078,0.1905,0.3401,0.5601
836,D2018_02_25_S00434_I0776,E4,9547,,,
837,D2018_02_25_S00434_I0776,E4,4835,0.1949,0.3482,0.5597
838,D2018_02_25_S00434_I0776,E4,4207,0.2153,0.3540,0.6082
839,D2018_02_25_S00434_I0776,E4,2632,0.2191,0.3549,0.6174
840,D2018_02_25_S00434_I0776,E4,8361,,,
841,D2018_02_25_S00434_I0776,E4,1888,0.1820,0.3559,0.5114
842,D2018_02_25_S00434_I0776,E4,5095,0.1915,0.3263,0.5869
843,D2018_02_25_S00434_I0776,E4,7296,,,
844,D2018_02_25_S00434_I0776,E4,4985,0.1965,0.3390,0.5796
845,D2018_02_25_S00434_I0776,E4,8656,,,
846,D2018_02_25_S00434_I0776,E4,5255,0.1969,0.3253,0.6053
847,D2018_02_25_S00434_I0776,E4,1818,0.1781,0.3388,0.5257
848,D2018_02_25_S00434_I0776,E4,5850,0.2056,0.3062,0.6715
849,D2018_02_25_S00434_I0776,E4,9166,,,
850,D2018_02_25_S00434_I0776,E4,3026,0.2031,0.3392,0.5988
851,D2018_02_25_S00434_I0776,E4,9016,,,
852,D2018_02_25_S00434_I0776,E4,5215,0.2354,0.3321,0.7088
853,D2018_02_25_S00434_I0776,E4,5810,0.1918,0.3230,0.5938
854,D2018_02_25_S00434_I0776,E4,8906,,,
855,D2018_02_25_S00434_I0776,E4,7153,,,
856,D2018_02_25_S00434_I0776,E4,5575,0.1942,0.3131,0.6202
857,D2018_02_25_S00434_I0776,E5,6071,0.1956,0.3107,0.6295
858,D2018_02_25_S00434_I0776,E5,2129,0.1748,0.3344,0.5227
859,D2018_02_25_S00434_I0776,E5,4915,0.1929,0.3173,0.6079
860,D2018_02_25_S00434_I0776,E5,9246,0.1694,0.3113,0.5442
861,D2018_02_25_S00434_I0776,E5,6161,0.2098,0.3267,0.6422
862,D2018_02_25_S00434_I0776,E5,6711,0.1806,0.3338,0.5410
863,D2018_02_25_S00434_I0776,E5,8836,0.1662,0.3272,0.5079
864,D2018_02_25_S00434_I0776,E5,9397,0.1844,0.3176,0.5806
865,D2018_02_25_S00434_I0776,E5,4885,0.2091,0.3225,0.6484
866,D2018_02_25_S00434_I0776,E5,3307,0.1841,0.2769,0.6649
