,Batch,ID,Time,Embryo,Zona,Ratio
41,D2018_02_25_S00434_I0776,E4,2319,0.1747,0.3066,0.5698
42,D2018_02_25_S00434_I0776,E4,4815,0.1777,0.3114,0.5706
43,D2018_02_25_S00434_I0776,E4,6591,0.3128,0.3906,0.8008
44,D2018_02_25_S00434_I0776,E4,2582,0.1769,0.3088,0.5729
45,D2018_02_25_S00434_I0776,E4,8201,,,
46,D2018_02_25_S00434_I0776,E4,3807,0.1777,0.3126,0.5685
47,D2018_02_25_S00434_I0776,E4,2986,0.1779,0.3066,0.5802
48,D2018_02_25_S00434_I0776,E4,5940,0.1775,0.3152,0.5631
49,D2018_02_25_S00434_I0776,E4,5705,0.1709,0.3078,0.5552
50,D2018_02_25_S00434_I0776,E4,7656,,,
51,D2018_02_25_S00434_I0776,E4,8231,,,
52,D2018_02_25_S00434_I0776,E4,5225,0.1827,0.3133,0.5831
53,D2018_02_25_S00434_I0776,E4,6070,0.1874,0.3165,0.5921
54,D2018_02_25_S00434_I0776,E4,5645,0.1674,0.3052,0.5485
55,D2018_02_25_S00434_I0776,E4,8311,,,
56,D2018_02_25_S00434_I0776,E4,5802,0.1739,0.3106,0.5599
57,D2018_02_25_S00434_I0776,E4,8372,,,
58,D2018_02_25_S00434_I0776,E4,1938,0.1719,0.3066,0.5607
59,D2018_02_25_S00434_I0776,E4,2746,0.1775,0.3089,0.5746
60,D2018_02_25_S00434_I0776,E4,8157,,,
61,D2018_02_25_S00434_I0776,E4,6311,0.2309,0.3492,0.6612
62,D2018_02_25_S00434_I0776,E4,3687,0.1795,0.3100,0.5790
63,D2018_02_25_S00434_I0776,E4,3577,0.1787,0.3101,0.5763
64,D2018_02_25_S00434_I0776,E4,8281,,,
65,D2018_02_25_S00434_I0776,E4,4237,0.1839,0.3133,0.5870
66,D2018_02_25_S00434_I0776,E4,2796,0.1795,0.3090,0.5809
67,D2018_02_25_S00434_I0776,E4,2409,0.1792,0.3109,0.5764
68,D2018_02_25_S00434_I0776,E4,6441,0.2618,0.3645,0.7182
69,D2018_02_25_S00434_I0776,E4,5305,0.1797,0.3123,0.5754
70,D2018_02_25_S00434_I0776,E4,2088,0.1728,0.3071,0.5627
71,D2018_02_25_S00434_I0776,E4,1908,0.1747,0.3070,0.5691
72,D2018_02_25_S00434_I0776,E4,8946,,,
73,D2018_02_25_S00434_I0776,E4,2552,0.1791,0.3103,0.5772
74,D2018_02_25_S00434_I0776,E4,2329,0.1760,0.3050,0.5770
75,D2018_02_25_S00434_I0776,E4,9046,,,
76,D2018_02_25_S00434_I0776,E4,3277,0.1794,0.3104,0.5780
77,D2018_02_25_S00434_I0776,E4,9507,,,
78,D2018_02_25_S00434_I0776,E4,2389,0.1807,0.3094,0.5840
79,D2018_02_25_S00434_I0776,E4,3817,0.1783,0.3123,0.5709
80,D2018_02_25_S00434_I0776,E4,6721,0.3483,0.4108,0.8479
81,D2018_02_25_S00434_I0776,E4,7636,,,
82,D2018_02_25_S00434_I0776,E4,2148,0.1767,0.3066,0.5763
83,D2018_02_25_S00434_I0776,E4,8047,,,
84,D2018_02_25_S00434_I0776,E4,7186,,,
85,D2018_02_25_S00434_I0776,E4,2028,0.1731,0.3053,0.5670
86,D2018_02_25_S00434_I0776,E4,4525,0.1787,0.3114,0.5739
87,D2018_02_25_S00434_I0776,E4,8786,,,
88,D2018_02_25_S00434_I0776,E4,1658,0.1734,0.3079,0.5632
89,D2018_02_25_S00434_I0776,E4,8271,,,
90,D2018_02_25_S00434_I0776,E4,1778,0.1740,0.3089,0.5633
91,D2018_02_25_S00434_I0776,E4,6807,0.3750,0.4227,0.8872
92,D2018_02_25_S00434_I0776,E4,1448,0.1756,0.3085,0.5692
93,D2018_02_25_S00434_I0776,E4,1568,0.1753,0.3079,0.5693
94,D2018_02_25_S00434_I0776,E4,5365,0.1790,0.3112,0.5752
95,D2018_02_25_S00434_I0776,E4,6701,0.3415,0.4064,0.8403
96,D2018_02_25_S00434_I0776,E4,4705,0.1774,0.3106,0.5712
97,D2018_02_25_S00434_I0776,E4,8291,,,
98,D2018_02_25_S00434_I0776,E4,2642,0.1773,0.3094,0.5730
99,D2018_02_25_S00434_I0776,E4,4385,0.1809,0.3120,0.5798
100,D2018_02_25_S00434_I0776,E4,5765,0.1745,0.3073,0.5678
101,D2018_02_25_S00434_I0776,E4,3997,0.1795,0.3114,0.5764
102,D2018_02_25_S00434_I0776,E4,7977,,,
103,D2018_02_25_S00434_I0776,E4,4935,0.1793,0.3110,0.5765
104,D2018_02_25_S00434_I0776,E4,6977,0.4373,0.5199,0.8411
105,D2018_02_25_S00434_I0776,E4,4875,0.1777,0.3095,0.5742
106,D2018_02_25_S00434_I0776,E4,4625,0.1806,0.3135,0.5761
107,D2018_02_25_S00434_I0776,E4,2038,0.1741,0.3065,0.5680
108,D2018_02_25_S00434_I0776,E4,2622,0.1785,0.3083,0.5790
109,D2018_02_25_S00434_I0776,E4,4805,0.1781,0.3092,0.5760
110,D2018_02_25_S00434_I0776,E4,2339,0.1806,0.3074,0.5875
111,D2018_02_25_S00434_I0776,E4,9567,,,
112,D2018_02_25_S00434_I0776,E4,5355,0.1790,0.3093,0.5787
113,D2018_02_25_S00434_I0776,E4,2379,0.1797,0.3078,0.5838
114,D2018_02_25_S00434_I0776,E4,3857,0.1787,0.3105,0.5755
115,D2018_02_25_S00434_I0776,E4,7446,,,
116,D2018_02_25_S00434_I0776,E4,5655,0.1697,0.3091,0.5490
117,D2018_02_25_S00434_I0776,E4,7586,,,
118,D2018_02_25_S00434_I0776,E4,6040,0.1819,0.3159,0.5758
119,D2018_02_25_S00434_I0776,E4,4405,0.1810,0.3143,0.5759
120,D2018_02_25_S00434_I0776,E4,9537,,,
121,D2018_02_25_S00434_I0776,E4,9266,,,
122,D2018_02_25_S00434_I0776,E4,5830,0.1761,0.3081,0.5716
123,D2018_02_25_S00434_I0776,E4,1838,0.1720,0.3072,0.5599
124,D2018_02_25_S00434_I0776,E4,1438,0.1744,0.3100,0.5626
125,D2018_02_25_S00434_I0776,E4,8706,,,
126,D2018_02_25_S00434_I0776,E4,4685,0.1788,0.3120,0.5731
127,D2018_02_25_S00434_I0776,E4,6501,0.2819,0.4622,0.6099
128,D2018_02_25_S00434_I0776,E4,6161,0.2025,0.3279,0.6176
129,D2018_02_25_S00434_I0776,E4,4257,0.1817,0.3148,0.5772
130,D2018_02_25_S00434_I0776,E4,5435,0.1736,0.3100,0.5600
131,D2018_02_25_S00434_I0776,E4,5930,0.1764,0.3116,0.5661
132,D2018_02_25_S00434_I0776,E4,4515,0.1776,0.3123,0.5687
133,D2018_02_25_S00434_I0776,E4,3717,0.1783,0.3099,0.5753
134,D2018_02_25_S00434_I0776,E4,7917,,,
135,D2018_02_25_S00434_I0776,E4,6100,0.1932,0.3196,0.6045
136,D2018_02_25_S00434_I0776,E4,8077,,,
137,D2018_02_25_S00434_I0776,E4,8686,,,
138,D2018_02_25_S00434_I0776,E4,2269,0.1758,0.3054,0.5756
139,D2018_02_25_S00434_I0776,E4,7897,,,
140,D2018_02_25_S00434_I0776,E4,1798,0.1733,0.3078,0.5630
141,D2018_02_25_S00434_I0776,E4,7676,,,
142,D2018_02_25_S00434_I0776,E4,4495,0.1797,0.3108,0.5782
143,D2018_02_25_S00434_I0776,E4,5745,0.1725,0.3075,0.5610
144,D2018_02_25_S00434_I0776,E4,5235,0.1825,0.3144,0.5805
145,D2018_02_25_S00434_I0776,E4,5515,0.1717,0.3056,0.5618
146,D2018_02_25_S00434_I0776,E4,7937,,,
147,D2018_02_25_S00434_I0776,E4,1998,0.1735,0.3064,0.5663
148,D2018_02_25_S00434_I0776,E4,7887,,,
149,D2018_02_25_S00434_I0776,E4,9437,,,
150,D2018_02_25_S00434_I0776,E4,9286,,,
151,D2018_02_25_S00434_I0776,E4,5675,0.1699,0.3086,0.5506
152,D2018_02_25_S00434_I0776,E4,7576,,,
153,D2018_02_25_S00434_I0776,E4,7436,,,
154,D2018_02_25_S00434_I0776,E4,6351,0.2423,0.3517,0.6889
155,D2018_02_25_S00434_I0776,E4,4365,0.1833,0.3131,0.5854
156,D2018_02_25_S00434_I0776,E4,8766,,,
157,D2018_02_25_S00434_I0776,E4,4067,0.1805,0.3115,0.5795
158,D2018_02_25_S00434_I0776,E4,1368,0.1762,0.3078,0.5724
159,D2018_02_25_S00434_I0776,E4,7246,,,
160,D2018_02_25_S00434_I0776,E4,1268,0.1744,0.3079,0.5664
161,D2018_02_25_S00434_I0776,E4,8626,,,
162,D2018_02_25_S00434_I0776,E4,9387,,,
163,D2018_02_25_S00434_I0776,E4,9036,,,
164,D2018_02_25_S00434_I0776,E4,3567,0.1791,0.3116,0.5748
165,D2018_02_25_S00434_I0776,E4,5115,0.1839,0.3118,0.5898
166,D2018_02_25_S00434_I0776,E4,7346,,,
167,D2018_02_25_S00434_I0776,E4,5980,0.1806,0.3141,0.5750
168,D2018_02_25_S00434_I0776,E4,7476,,,
169,D2018_02_25_S00434_I0776,E4,2936,0.1769,0.3079,0.5745
170,D2018_02_25_S00434_I0776,E4,1478,0.1760,0.3079,0.5716
171,D2018_02_25_S00434_I0776,E4,6611,0.3226,0.3890,0.8293
172,D2018_02_25_S00434_I0776,E4,3827,0.1790,0.3098,0.5778
173,D2018_02_25_S00434_I0776,E4,1858,0.1726,0.3061,0.5639
174,D2018_02_25_S00434_I0776,E4,4505,0.1805,0.3125,0.5776
175,D2018_02_25_S00434_I0776,E4,2896,0.1788,0.3097,0.5773
176,D2018_02_25_S00434_I0776,E4,3897,0.1777,0.3112,0.5710
177,D2018_02_25_S00434_I0776,E4,7040,,,
178,D2018_02_25_S00434_I0776,E4,1618,0.1714,0.3070,0.5583
179,D2018_02_25_S00434_I0776,E4,8966,,,
180,D2018_02_25_S00434_I0776,E4,8696,,,
181,D2018_02_25_S00434_I0776,E4,5615,0.1685,0.3092,0.5450
182,D2018_02_25_S00434_I0776,E4,7306,,,
